SOBIC.001G005500	Sobic.001G005500	GO:0044238
SOBIC.001G006700	Sobic.001G006700	GO:0003950
SOBIC.001G011700	Sobic.001G011700	GO:0004072, GO:0008652, GO:0009570, GO:0016310, GO:0016597
SOBIC.001G014200	Sobic.001G014200	GO:0004672, GO:0005524, GO:0006468
SOBIC.001G017500	Sobic.001G017500	GO:0016491, GO:0055114
SOBIC.001G020200	Sobic.001G020200	GO:0003676, GO:0046872
SOBIC.001G020500	Sobic.001G020500	GO:0004674, GO:0005524, GO:0005886, GO:0006468, GO:0016021, GO:0048544
SOBIC.001G021000	Sobic.001G021000	GO:0004514, GO:0004516, GO:0009435, GO:0019358
SOBIC.001G024400	Sobic.001G024400	GO:0030599, GO:0043086, GO:0046910, GO:0071944
SOBIC.001G025101	Sobic.001G025101	GO:0003824
SOBIC.001G028800	Sobic.001G028800	GO:0009061
SOBIC.001G030200	Sobic.001G030200	GO:0006355, GO:0009508
SOBIC.001G030600	Sobic.001G030600	GO:0009813, GO:0043231, GO:0052696, GO:0080043, GO:0080044
SOBIC.001G032100	Sobic.001G032100	GO:0004867, GO:0005576, GO:0010951
SOBIC.001G034900	Sobic.001G034900	GO:0003779, GO:0005622
SOBIC.001G035000	Sobic.001G035000	GO:0003700, GO:0005634, GO:0006355, GO:0043565, GO:0044212, GO:0046872
SOBIC.001G035100	Sobic.001G035100	GO:0003700, GO:0005634, GO:0006355, GO:0043565, GO:0044212, GO:0046872
SOBIC.001G038500	Sobic.001G038500	GO:0003333, GO:0015171, GO:0016021
SOBIC.001G039100	Sobic.001G039100	GO:0016491, GO:0055114
SOBIC.001G040200	Sobic.001G040200	GO:0003677, GO:0005634, GO:0006355
SOBIC.001G044300	Sobic.001G044300	GO:0003700, GO:0006355, GO:0043565
SOBIC.001G048400	Sobic.001G048400	GO:0009941, GO:0010277, GO:0046872, GO:0051537, GO:0055114
SOBIC.001G048900	Sobic.001G048900	GO:0005509
SOBIC.001G050900	Sobic.001G050900	GO:0005506, GO:0016705, GO:0031418, GO:0055114
SOBIC.001G051600	Sobic.001G051600	GO:0005524, GO:0016021
SOBIC.001G052300	Sobic.001G052300	GO:0005773
SOBIC.001G053900	Sobic.001G053900	GO:0009506, GO:0016021, GO:0050832
SOBIC.001G054800	Sobic.001G054800	GO:0000786, GO:0003677, GO:0005730, GO:0005739, GO:0006334
SOBIC.001G062300	Sobic.001G062300	GO:0004031, GO:0004854, GO:0005506, GO:0005829, GO:0009055, GO:0009115, GO:0016614, GO:0050660, GO:0051537, GO:0055114
SOBIC.001G062600	Sobic.001G062600	GO:0004854, GO:0005506, GO:0005829, GO:0009055, GO:0009115, GO:0016614, GO:0016903, GO:0050660, GO:0051537, GO:0055114
SOBIC.001G063000	Sobic.001G063000	GO:0008152, GO:0016787
SOBIC.001G064700	Sobic.001G064700	GO:0004672, GO:0005515, GO:0005524, GO:0005886, GO:0006468, GO:0016021
