GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0006091	P	generation of precursor metabolites and energy	27	982	98	15420	4.4e-09	6.2e-06	// Sobic.010G160700 // Sobic.010G041400 // Sobic.001G071800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.003G393900 // Sobic.006G264201 // Sobic.008G033600 // Sobic.002G215000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.002G288300 // Sobic.007G136900 // Sobic.002G352100 // Sobic.007G101800 // Sobic.003G209900 // Sobic.004G146000 // Sobic.003G209800 // Sobic.006G267200 // Sobic.002G289100 // Sobic.004G234100 // Sobic.001G177000 // Sobic.002G339200 // Sobic.010G221800 
GO:0016052	P	carbohydrate catabolic process	20	982	59	15420	2.6e-08	1.8e-05	// Sobic.003G336000 // Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.001G384100 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.001G508800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.001G226600 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0044724	P	single-organism carbohydrate catabolic process	18	982	49	15420	4.8e-08	2.3e-05	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.001G384100 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.003G336000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0046031	P	ADP metabolic process	16	982	46	15420	4.9e-07	6.2e-05	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0009179	P	purine ribonucleoside diphosphate metabolic process	16	982	46	15420	4.9e-07	6.2e-05	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0015979	P	photosynthesis	23	982	91	15420	2.3e-07	6.2e-05	// Sobic.002G414400 // Sobic.006G151100 // Sobic.007G136900 // Sobic.002G033900 // Sobic.002G242000 // Sobic.006G264201 // Sobic.009G229700 // Sobic.007G212400 // Sobic.002G215000 // Sobic.002G119500 // Sobic.002G288300 // Sobic.008G063500 // Sobic.002G352100 // Sobic.002G329600 // Sobic.003G209900 // Sobic.003G209800 // Sobic.003G052500 // Sobic.006G151001 // Sobic.003G313000 // Sobic.002G289100 // Sobic.001G070500 // Sobic.001G177000 // Sobic.002G339200 
GO:0006757	P	ATP generation from ADP	16	982	46	15420	4.9e-07	6.2e-05	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0009185	P	ribonucleoside diphosphate metabolic process	16	982	46	15420	4.9e-07	6.2e-05	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0009135	P	purine nucleoside diphosphate metabolic process	16	982	46	15420	4.9e-07	6.2e-05	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0006090	P	pyruvate metabolic process	17	982	51	15420	3.5e-07	6.2e-05	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.001G326900 // Sobic.010G221800 
