"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.001G000300.v3.2",4.60058341699897,-4.40780983376551,1.10408884974491,-3.99226007470674,6.54465370941164e-05,0.000192489420415072
"Sobic.001G003200.v3.2",2345.03318148213,-1.5839992316664,0.373323440315357,-4.24296751987592,2.20583371330194e-05,7.00385152363641e-05
"Sobic.001G004500.v3.2",747.692676467596,-1.94142833536933,0.51659859073942,-3.7580983962626,0.000171209558503701,0.000467300808482091
"Sobic.001G004600.v3.2",90.7433058291447,-1.35815776444962,0.368642317482184,-3.68421556625891,0.000229408036207174,0.00061245905805538
"Sobic.001G005500.v3.2",1871.07095869268,-1.22689948297008,0.304106222039909,-4.03444386879094,5.47317712858502e-05,0.000162909270449957
"Sobic.001G007400.v3.2",1251.97081343202,-1.38015192643351,0.1677323063465,-8.22830113348828,1.89887227397049e-16,2.18054972573554e-15
"Sobic.001G008200.v3.2",645.973156805827,-1.18952135127654,0.205623766291359,-5.78494097608854,7.25377950327663e-09,3.766950966441e-08
"Sobic.001G010300.v3.2",1706.90450151743,-2.05021501596331,0.0884027031438225,-23.1917683854962,5.51309528343176e-119,5.27364317828804e-116
"Sobic.001G010400.v3.2",1477.96906817288,-1.989605205499,0.121300194118406,-16.4023249918039,1.84057038907435e-60,2.9181684229429e-58
"Sobic.001G010500.v3.2",24.3269478151929,-2.26720538672401,0.37535280450741,-6.04019834006394,1.53924901081513e-09,8.70380864302698e-09
"Sobic.001G011200.v3.2",3375.73235429823,-1.19951347778904,0.15288352190432,-7.84593043676568,4.29755127301563e-15,4.34555422416243e-14
"Sobic.001G011600.v3.2",859.170489478673,-1.02781262063746,0.150416601121079,-6.83310627269205,8.30953499423045e-12,6.12217524337436e-11
"Sobic.001G013300.v3.2",798.357873489423,-1.35413278403844,0.0917569599454882,-14.7578209308909,2.73991186509661e-49,2.69271406824238e-47
"Sobic.001G013500.v3.2",1329.79928713842,-1.56372969566904,0.154255283626985,-10.1372844994432,3.77445996059624e-24,8.28735099382022e-23
"Sobic.001G014100.v3.2",1048.76776643609,-1.63727652601014,0.270767152844354,-6.04680630132158,1.47745205293419e-09,8.372520055895e-09
"Sobic.001G014900.v3.2",805.547784862725,-1.19927682203263,0.161538563096393,-7.42408994511731,1.13557974209542e-13,1.00424443324845e-12
"Sobic.001G015200.v3.2",429.973244478302,-1.18099381269487,0.212280366313479,-5.56336807404446,2.64616929058398e-08,1.28489204960894e-07
"Sobic.001G015500.v3.2",515.958119490528,-1.1887428245963,0.212788926559764,-5.58648818721509,2.31707301344014e-08,1.13527478686515e-07
"Sobic.001G016000.v3.2",652.133936212227,-1.24259907893789,0.102377206703793,-12.1374583166064,6.68710929360549e-34,2.92530450302739e-32
"Sobic.001G016201.v3.2",926.038149166326,-1.09019911611034,0.241218686983327,-4.51954668083281,6.19721827270719e-06,2.14525419507694e-05
"Sobic.001G016500.v3.2",4409.16415916676,-1.06847419480904,0.151671292829989,-7.04466992317862,1.85901659026931e-12,1.46560986513622e-11
"Sobic.001G017400.v3.2",197.178038759546,-1.18874084140505,0.186883807707033,-6.36085520725567,2.00633507476133e-10,1.25991877228605e-09
"Sobic.001G017900.v3.2",686.909417260787,-1.47245374963924,0.237963783880011,-6.18772203749165,6.10398364079906e-10,3.6251245558777e-09
"Sobic.001G019400.v3.2",510.708331434639,-1.85184033822237,0.358403990476504,-5.16690770033088,2.37998717928635e-07,1.01257957129696e-06
"Sobic.001G020600.v3.2",1225.64405648981,-1.81615280984462,0.206412066989108,-8.79867556357766,1.38440288355331e-18,1.93985398190085e-17
"Sobic.001G021200.v3.2",6.68258098069429,-3.84226776409869,1.54721105328428,-2.4833507723091,0.0130152854347032,0.0246144488018768
"Sobic.001G022900.v3.2",6102.45685431892,-1.13293918336789,0.141850824509079,-7.98683537645127,1.3844677342235e-15,1.46389353607265e-14
"Sobic.001G023200.v3.2",1406.04303622213,-1.25024596159113,0.129191234471074,-9.67748289355539,3.75855548349739e-22,7.07737970537563e-21
"Sobic.001G024500.v3.2",2508.91419705522,-3.35207929968176,0.291963090374939,-11.4811748819929,1.64036189957815e-30,5.66467694731578e-29
"Sobic.001G024700.v3.2",8.42095346508487,-2.49076068067894,0.852130419856357,-2.92298059386122,0.0034669812372225,0.00740102362304352
"Sobic.001G025300.v3.2",698.016445134325,-1.81462480026904,0.259939496178395,-6.98095067101183,2.93189253996047e-12,2.26844217361137e-11
"Sobic.001G026000.v3.2",1458.33850829195,-1.10934083902451,0.200560547016285,-5.53120170206972,3.18044353261256e-08,1.52879711985566e-07
"Sobic.001G027800.v3.2",267.856554270939,-3.70068892279019,0.539699477967912,-6.85694367673674,7.03493505699528e-12,5.23959333845299e-11
"Sobic.001G028500.v3.2",1055.6295816522,-1.23877459662327,0.144776694651388,-8.55645032928922,1.16395954578725e-17,1.50054569117056e-16
"Sobic.001G028600.v3.2",1640.41870733099,-3.84562414376998,0.538944460806786,-7.13547391880266,9.64542478975947e-13,7.80583065966518e-12
"Sobic.001G029000.v3.2",101.502044608251,-1.03401705830175,0.220650886594317,-4.68621302303158,2.78306593657751e-06,1.01661969427145e-05
"Sobic.001G030500.v3.2",256.7974111454,-2.24137600761437,0.255584181679696,-8.76961943765096,1.79271162640575e-18,2.49130486890875e-17
"Sobic.001G030600.v3.2",198.60586250137,-1.68606255680003,0.322418769861425,-5.22941811832076,1.70044393575494e-07,7.39358176126657e-07
"Sobic.001G031000.v3.2",1.47713809153561,-5.71978971698712,2.56877928333647,-2.22665674473906,0.0259702233961786,0.0460610321878948
"Sobic.001G031600.v3.2",703.984517163854,-1.06235140426738,0.13715761914361,-7.74547860265095,9.52224880580094e-15,9.33902850239472e-14
"Sobic.001G032300.v3.2",10.9928563587915,-2.17516884548291,0.74242005414381,-2.92983578951327,0.00339141170879757,0.00725914386569433
"Sobic.001G032400.v3.2",64.6397824049446,-1.4350914244623,0.360374486845305,-3.98222259579195,6.82737905006489e-05,0.000200285586142561
"Sobic.001G032550.v3.2",78.2641777666259,-1.11266337443333,0.262419312597125,-4.24002091698765,2.23498959307324e-05,7.08623316234921e-05
