"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.001G000300.v3.2",4.60058341699897,3.0883922884423,1.10520693615651,2.79440183318299,0.00519958245770475,0.0167967225760316
"Sobic.001G001800.v3.2",26.3905012634278,1.23243636625388,0.451613592472763,2.72896207464838,0.00635340102843578,0.0199136450145002
"Sobic.001G005500.v3.2",1871.07095869268,1.47586561733226,0.298392265557747,4.94605855340658,7.57311880151165e-07,7.39956816231034e-06
"Sobic.001G006700.v3.2",7901.30256077732,1.96292623036178,0.478461687887493,4.10257765679944,4.08572655903418e-05,0.000250593603686185
"Sobic.001G011700.v3.2",3193.76535642914,1.73647236368485,0.501603466698356,3.46184282799045,0.000536490359256759,0.00236999037825513
"Sobic.001G014200.v3.2",1951.2505855851,1.00628100690049,0.171523011533161,5.86674054930492,4.44445301115362e-09,7.19188658619109e-08
"Sobic.001G017500.v3.2",2268.55614476202,1.44107386604301,0.187104045995357,7.70199200330905,1.33961272618869e-14,6.0899357213166e-13
"Sobic.001G020200.v3.2",15.4056982170877,1.77162232261586,0.658080170253945,2.69210713632689,0.00710021325360293,0.02187671093358
"Sobic.001G020500.v3.2",137.802882600087,1.26413897366893,0.237726185687377,5.31762611684412,1.05129813714586e-07,1.25726857540521e-06
"Sobic.001G021000.v3.2",745.625809842569,1.09360415504075,0.231640474436371,4.72112724558054,2.34541144679595e-06,2.02951654713524e-05
"Sobic.001G024400.v3.2",190.736542526806,1.25311613491274,0.442958415251098,2.82897015107477,0.00466980541312782,0.0153031704117173
"Sobic.001G024700.v3.2",8.42095346508487,2.916793915705,0.807817559989,3.61070872951155,0.000305361439593798,0.00144782997643968
"Sobic.001G025101.v3.2",118.338210056137,1.25993145142058,0.435035566762041,2.89615734363564,0.00377762940579394,0.012784424711851
"Sobic.001G028600.v3.2",1640.41870733099,2.46157866323668,0.538960323514627,4.56727249825075,4.94111489972769e-06,3.92554978199709e-05
"Sobic.001G028800.v3.2",1291.13388192514,3.58247525521865,0.432210803767674,8.28872213278669,1.14471617354759e-16,7.20633403213182e-15
"Sobic.001G030200.v3.2",222.693895515052,1.23471599873049,0.205474364710499,6.00909996957592,1.86556069899082e-09,3.2831068211133e-08
"Sobic.001G030600.v3.2",198.60586250137,1.06728436380893,0.320483081625455,3.33023621214505,0.000867723383674494,0.00359242842674713
"Sobic.001G032100.v3.2",720.34525136492,2.93988781281151,0.47321540855632,6.21257837267066,5.21221688867473e-10,1.02424429641974e-08
"Sobic.001G032900.v3.2",318.911367654936,1.52567289197809,0.35749730735154,4.26764862449115,1.97544156715046e-05,0.000133051521540483
"Sobic.001G034900.v3.2",64.4210084808151,1.14123213089931,0.359498936115618,3.17450767234616,0.0015009092278636,0.00576752501325708
"Sobic.001G035000.v3.2",28.7982316246792,2.81155216149501,0.831136966044317,3.38277838233596,0.000717565117693362,0.00305203784943942
"Sobic.001G035100.v3.2",119.897317343467,2.63885201065825,0.613452874143852,4.30163770011036,1.69540361860314e-05,0.000116334205870501
"Sobic.001G038500.v3.2",716.615928796658,1.03699702329873,0.309012050951626,3.35584654418887,0.000791224585259838,0.00332049556460569
"Sobic.001G039100.v3.2",8.82975189035031,2.27106853012106,0.657712585474482,3.45298019268201,0.000554429711661512,0.00243471474503042
"Sobic.001G040200.v3.2",6768.2572844305,1.51908746642262,0.31444905429732,4.83094938802482,1.35883546080883e-06,1.24959574729283e-05
"Sobic.001G044300.v3.2",622.604325046352,1.46842288213071,0.371571731558289,3.95192302700874,7.75256793108092e-05,0.000438595218296375
"Sobic.001G046200.v3.2",428.84671214685,1.34610688614403,0.207124477806957,6.49902368081584,8.08429369679917e-11,1.87325114108454e-09
"Sobic.001G047700.v3.2",225.281171868959,1.14520569920252,0.189570341375538,6.04105943415418,1.53105563988217e-09,2.73028553271763e-08
"Sobic.001G048400.v3.2",1184.34095587538,1.509244070946,0.377073455412597,4.00252006414659,6.26713511479168e-05,0.000364449642757259
"Sobic.001G048900.v3.2",8729.48132453071,1.23332006298923,0.229746188280887,5.36818509250469,7.95329098273008e-08,9.80743243882666e-07
"Sobic.001G050900.v3.2",429.475433490543,1.55458438980871,0.426761338323798,3.64274888609801,0.00026974195641741,0.00130175590011763
"Sobic.001G051600.v3.2",230.471975426192,1.5078198082924,0.397472710426723,3.79351781578568,0.000148527968963467,0.000774425986035198
"Sobic.001G052300.v3.2",228.6763770856,1.27319602950998,0.335183832300216,3.79850072353612,0.000145574004311249,0.000760291848797056
"Sobic.001G053900.v3.2",769.32423913538,1.20848444561692,0.25972367865982,4.65296214751281,3.27200330215098e-06,2.72247702313805e-05
"Sobic.001G054800.v3.2",4511.15686206807,1.17497074632369,0.229349354128402,5.12306106458828,3.00614939256582e-07,3.22454133844483e-06
"Sobic.001G062300.v3.2",8922.77602721078,1.06857951416433,0.281467350277109,3.79645992017298,0.000146777080050558,0.000766006497148128
"Sobic.001G062600.v3.2",671.470579568799,2.48270347583777,0.256896879467366,9.66420254300187,4.27939743018741e-22,5.68029451346574e-20
"Sobic.001G063000.v3.2",54.7131291756988,2.13137649559867,0.593754435510778,3.58965991347106,0.000331109658679094,0.00155757703029584
"Sobic.001G064700.v3.2",311.489337460654,1.25601280776259,0.166658893389828,7.53642834303886,4.83018189804258e-14,1.99590776227486e-12
"Sobic.001G064800.v3.2",496.230481343035,1.09991720310106,0.16464844306932,6.68039844529824,2.3829346618019e-11,6.07939994407121e-10
"Sobic.001G065800.v3.2",5238.38225713679,1.58271227505967,0.195826581324795,8.0822136829045,6.36015335695081e-16,3.57234961007178e-14
"Sobic.001G065900.v3.2",47.8194642702057,2.16064214412478,0.308846279660323,6.99584967156189,2.63656122274954e-12,8.00354183475428e-11
"Sobic.001G067100.v3.2",2309.82278629046,2.65678059812587,0.188273543001248,14.1112795551325,3.23651681515463e-45,3.03585277261504e-42
"Sobic.001G069800.v3.2",1817.50301933748,1.10050636638001,0.217481257190841,5.06023544555066,4.18739084769335e-07,4.33848227003281e-06
"Sobic.001G070500.v3.2",41968.9084048285,4.82267116621104,1.38233905076202,3.48877590020519,0.000485237771668777,0.00216946153396241
"Sobic.001G071100.v3.2",1294.15602380851,1.3431811258743,0.356810643544739,3.7644087982647,0.000166943583281864,0.000855076889980277
"Sobic.001G071300.v3.2",56.821554235606,1.46279391967131,0.448136952166502,3.26416715381199,0.00109786374071202,0.00439796066229282
"Sobic.001G071800.v3.2",10523.1859118696,1.80968586289924,0.22199669784349,8.15185937664302,3.58370883715621e-16,2.08358608837966e-14
"Sobic.001G073800.v3.2",66.7270034589417,1.66267318447667,0.474750984705708,3.50220060208477,0.000461432059872812,0.00207555916956856
"Sobic.001G074200.v3.2",1048.81987942842,1.3268333938753,0.291343794085147,4.55418450920401,5.25891838508804e-06,4.14642654402851e-05
"Sobic.001G074400.v3.2",1263.72311693529,1.30522015243113,0.248469484595006,5.25304004456956,1.49608992112252e-07,1.71977003187858e-06
"Sobic.001G075900.v3.2",50.0642783596951,1.60003404341351,0.574567970350864,2.78476024766303,0.00535673148471018,0.0172370982252424
