"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"48","Sobic.001G004800.v3.2","seed_wt","seed_plasma","OK",3.87391,0.387678,-3.32086,-2.16619,0.01475,0.0355596,"yes"
"50","Sobic.001G005000.v3.2","seed_wt","seed_plasma","OK",9.19848,3.52283,-1.38466,-1.71313,0.00245,0.00751468,"yes"
"52","Sobic.001G005200.v3.2","seed_wt","seed_plasma","OK",4.63673,0.943043,-2.29771,-2.25604,7e-04,0.00249004,"yes"
"68","Sobic.001G006800.v3.2","seed_wt","seed_plasma","OK",26.5192,9.52515,-1.47722,-2.4305,5e-05,0.000226883,"yes"
"83","Sobic.001G008300.v3.2","seed_wt","seed_plasma","OK",4.35203,2.13483,-1.02757,-1.33467,0.02235,0.0508239,"no"
"89","Sobic.001G008900.v3.2","seed_wt","seed_plasma","OK",3.34229,0.392424,-3.09035,-2.2109,0.0087,0.0225789,"yes"
"97","Sobic.001G009700.v3.2","seed_wt","seed_plasma","OK",6.31216,0.353638,-4.15779,-5.03645,5e-05,0.000226883,"yes"
"101","Sobic.001G010100.v3.2","seed_wt","seed_plasma","OK",18.3238,4.91802,-1.89757,-2.67446,5e-05,0.000226883,"yes"
"110","Sobic.001G011000.v3.2","seed_wt","seed_plasma","OK",176.365,85.7004,-1.04119,-1.82051,0.00165,0.00530911,"yes"
"113","Sobic.001G011300.v3.2","seed_wt","seed_plasma","OK",11.1568,5.22807,-1.09357,-1.3843,0.0166,0.0393649,"yes"
"120","Sobic.001G012200.v3.2","seed_wt","seed_plasma","OK",70.7606,12.7464,-2.47285,-3.96182,5e-05,0.000226883,"yes"
"121","Sobic.001G012300.v3.2","seed_wt","seed_plasma","OK",78.6504,13.1003,-2.58586,-3.94176,5e-05,0.000226883,"yes"
"122","Sobic.001G012400.v3.2","seed_wt","seed_plasma","OK",64.5327,15.1322,-2.09241,-3.37729,5e-05,0.000226883,"yes"
"123","Sobic.001G012500.v3.2","seed_wt","seed_plasma","OK",375.975,119.026,-1.65935,-2.56836,5e-05,0.000226883,"yes"
"124","Sobic.001G012600.v3.2","seed_wt","seed_plasma","OK",25.7402,7.70831,-1.73954,-2.83961,5e-05,0.000226883,"yes"
"126","Sobic.001G012800.v3.2","seed_wt","seed_plasma","OK",5.45503,2.06521,-1.4013,-1.70017,0.00525,0.0145812,"yes"
"132","Sobic.001G013400.v3.2","seed_wt","seed_plasma","OK",4.22774,1.38911,-1.60572,-1.8098,0.0052,0.0144593,"yes"
