"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"55","Sobic.001G005500.v3.2","seed_wt","seed_plasma","OK",6.93379,18.4612,1.41278,2.12967,4e-04,0.00151008,"yes"
"67","Sobic.001G006700.v3.2","seed_wt","seed_plasma","OK",143.854,485.4,1.75457,2.52846,5e-05,0.000226883,"yes"
"99","Sobic.001G009900.v3.2","seed_wt","seed_plasma","OK",12.4423,27.5224,1.14535,1.71041,0.0028,0.00844597,"yes"
"116","Sobic.001G011700.v3.2","seed_wt","seed_plasma","OK",92.2713,268.574,1.54137,2.38326,5e-05,0.000226883,"yes"
"117","Sobic.001G011800.v3.2","seed_wt","seed_plasma","OK",16.0171,37.1284,1.21291,1.77843,0.00135,0.00445216,"yes"
"175","Sobic.001G017500.v3.2","seed_wt","seed_plasma","OK",76.4443,224.462,1.55399,2.7894,5e-05,0.000226883,"yes"
"195","Sobic.001G019300.v3.2","seed_wt","seed_plasma","OK",0.954417,3.07672,1.6887,2.07861,0.0012,0.00400957,"yes"
"204","Sobic.001G020200.v3.2","seed_wt","seed_plasma","OK",0.479819,2.29381,2.25718,1.54451,0.03285,0.0705666,"no"
"235","Sobic.001G023400.v3.2","seed_wt","seed_plasma","OK",5.31105,10.8397,1.02925,1.84451,0.0026,0.00791306,"yes"
"246","Sobic.001G024400.v3.2","seed_wt","seed_plasma","OK",0.470561,2.08026,2.14431,1.60239,0.029,0.0635233,"no"
"252","Sobic.001G025101.v3.2","seed_wt","seed_plasma","OK",16.1148,48.1968,1.58055,2.05331,0.001,0.00341485,"yes"
"280","Sobic.001G027800.v3.2","seed_wt","seed_plasma","OK",1.56489,5.52531,1.81999,2.14972,0.00115,0.00386197,"yes"
"288","Sobic.001G028600.v3.2","seed_wt","seed_plasma","OK",19.3299,85.1453,2.13909,2.55114,9e-04,0.00311238,"yes"
"290","Sobic.001G028800.v3.2","seed_wt","seed_plasma","OK",27.7086,236.286,3.09212,4.80229,5e-05,0.000226883,"yes"
"304","Sobic.001G030200.v3.2","seed_wt","seed_plasma","OK",3.95794,10.4828,1.4052,1.93207,0.0018,0.00572693,"yes"
"308","Sobic.001G030600.v3.2","seed_wt","seed_plasma","OK",3.85977,10.2023,1.40231,2.00644,0.001,0.00341485,"yes"
"322","Sobic.001G032100.v3.2","seed_wt","seed_plasma","OK",3.60413,23.457,2.7023,3.66173,5e-05,0.000226883,"yes"
"330","Sobic.001G032900.v3.2","seed_wt","seed_plasma","OK",2.89734,10.4964,1.8571,2.63341,5e-05,0.000226883,"yes"
"351","Sobic.001G035000.v3.2","seed_wt","seed_plasma","OK",0.953793,5.82984,2.61171,2.12157,0.0118,0.0293708,"yes"
"352","Sobic.001G035100.v3.2","seed_wt","seed_plasma","OK",2.67639,14.5926,2.44688,2.91498,0.00015,0.000624855,"yes"
