"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"311115","Sobic.001G377300.v3.2","shoot_wt","shoot_plasma","OK",53.4106,26.0764,-1.03438,-1.82443,0.0015,0.00488491,"yes"
"313840","Sobic.002G093600.v3.2","shoot_wt","shoot_plasma","OK",11.4521,5.08873,-1.17024,-1.60836,0.0065,0.0175239,"yes"
"315007","Sobic.002G206750.v3.2","shoot_wt","shoot_plasma","OK",50.8231,0,-Inf,NA,0.01295,0.0318201,"yes"
"315970","Sobic.002G300500.v3.2","shoot_wt","shoot_plasma","OK",3.65071,1.55917,-1.2274,-1.27454,0.0283,0.0622005,"no"
"317305","Sobic.002G431500.v3.2","shoot_wt","shoot_plasma","OK",9.97841,4.07469,-1.29212,-1.52848,0.01135,0.028407,"yes"
"320949","Sobic.003G346901.v3.2","shoot_wt","shoot_plasma","OK",2.70913,0,-Inf,NA,0.01215,0.0301119,"yes"
"321490","Sobic.003G397500.v3.2","shoot_wt","shoot_plasma","OK",74.7836,31.6343,-1.24123,-2.07499,0.00015,0.000624855,"yes"
"329767","Sobic.006G149000.v3.2","shoot_wt","shoot_plasma","OK",39.748,0,-Inf,NA,0.03565,0.0756091,"no"
"330579","Sobic.006G227500.v3.2","shoot_wt","shoot_plasma","OK",4.36724,1.09467,-1.99623,-1.67849,0.0293,0.064062,"no"
"331702","Sobic.007G051800.v3.2","shoot_wt","shoot_plasma","OK",16.4371,7.10282,-1.21049,-1.79745,0.00265,0.00804547,"yes"
