"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"309124","Sobic.001G189300.v3.2","shoot_wt","shoot_plasma","OK",2.14915,4.78379,1.15439,1.48454,0.01395,0.0338821,"yes"
"309883","Sobic.001G261440.v3.2","shoot_wt","shoot_plasma","OK",11.8786,29.0776,1.29155,1.08665,0.0363,0.0767764,"no"
"310036","Sobic.001G272700.v3.2","shoot_wt","shoot_plasma","OK",0.98928,3.04903,1.6239,1.49614,0.0156,0.0373066,"yes"
"310154","Sobic.001G284475.v3.2","shoot_wt","shoot_plasma","OK",0.681705,3.53762,2.37556,1.56592,0.0316,0.0682813,"no"
"310359","Sobic.001G304100.v3.2","shoot_wt","shoot_plasma","OK",5.7039,11.7303,1.04021,1.23479,0.0382,0.0802303,"no"
"311384","Sobic.001G403200.v3.2","shoot_wt","shoot_plasma","OK",1.26285,3.1452,1.31647,1.6155,0.0106,0.0267762,"yes"
"311424","Sobic.001G406800.v3.2","shoot_wt","shoot_plasma","OK",27.076,74.53,1.46081,2.39192,1e-04,0.000431629,"yes"
"312639","Sobic.001G521100.v3.2","shoot_wt","shoot_plasma","OK",1.7078,4.17148,1.28842,1.47215,0.01065,0.0268853,"yes"
"315366","Sobic.002G242300.v3.2","shoot_wt","shoot_plasma","OK",2.85303,7.69752,1.4319,1.6258,0.0112,0.0280868,"yes"
"315395","Sobic.002G245300.v3.2","shoot_wt","shoot_plasma","OK",5.35213,12.5734,1.23219,2.00892,9e-04,0.00311238,"yes"
"315428","Sobic.002G248500.v3.2","shoot_wt","shoot_plasma","OK",0,22.7001,Inf,NA,0.0052,0.0144593,"yes"
"315752","Sobic.002G279300.v3.2","shoot_wt","shoot_plasma","OK",1.94163,4.25221,1.13094,1.44382,0.01175,0.0292602,"yes"
"318860","Sobic.003G148500.v3.2","shoot_wt","shoot_plasma","OK",0.349528,1.40436,2.00643,1.49625,0.03205,0.0691033,"no"
"320409","Sobic.003G294500.v3.2","shoot_wt","shoot_plasma","OK",1.43927,3.14357,1.12706,1.39741,0.02275,0.0516189,"no"
"321813","Sobic.003G428800.v3.2","shoot_wt","shoot_plasma","OK",1.181,4.26275,1.85178,2.14749,0.00145,0.0047399,"yes"
"323443","Sobic.004G139700.v3.2","shoot_wt","shoot_plasma","OK",0.892981,2.75695,1.62637,1.58633,0.0083,0.0216803,"yes"
"325940","Sobic.005G018400.v3.2","shoot_wt","shoot_plasma","OK",0.739991,1.59671,1.10952,1.18646,0.0403,0.0839988,"no"
"326139","Sobic.005G037300.v3.2","shoot_wt","shoot_plasma","OK",0.601666,1.48967,1.30796,1.21633,0.0364,0.0769647,"no"
"333794","Sobic.008G025800.v3.2","shoot_wt","shoot_plasma","OK",3.74068,9.59798,1.35943,1.55903,0.0089,0.0230331,"yes"
"335256","Sobic.008G165266.v3.2","shoot_wt","shoot_plasma","OK",0,5.1316,Inf,NA,0.0386,0.0809493,"no"
"339353","Sobic.010G106100.v3.2","shoot_wt","shoot_plasma","OK",1.49505,3.16327,1.08122,1.16443,0.0374,0.0787743,"no"
