"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"34131","Sobic.001G000200.v3.2","seed_wt","seed_dry","OK",16.6973,7.36217,-1.18141,-1.95485,9e-04,0.00311238,"yes"
"34143","Sobic.001G001400.v3.2","seed_wt","seed_dry","OK",5.6573,1.84017,-1.62027,-2.55492,5e-05,0.000226883,"yes"
"34162","Sobic.001G003300.v3.2","seed_wt","seed_dry","OK",3.70788,1.36189,-1.44499,-1.86468,0.00175,0.00558801,"yes"
"34177","Sobic.001G004800.v3.2","seed_wt","seed_dry","OK",3.87391,0.794265,-2.2861,-1.78496,0.02045,0.0471044,"yes"
"34181","Sobic.001G005200.v3.2","seed_wt","seed_dry","OK",4.63673,1.44677,-1.68027,-1.778,0.0029,0.0087062,"yes"
"34182","Sobic.001G005300.v3.2","seed_wt","seed_dry","OK",16.3748,2.60731,-2.65084,-3.66283,5e-05,0.000226883,"yes"
"34196","Sobic.001G006700.v3.2","seed_wt","seed_dry","OK",143.854,49.1118,-1.55046,-2.76417,5e-05,0.000226883,"yes"
"34199","Sobic.001G007000.v3.2","seed_wt","seed_dry","OK",9.42205,2.75739,-1.77274,-2.32634,0.00015,0.000624855,"yes"
"34206","Sobic.001G007700.v3.2","seed_wt","seed_dry","OK",4.35639,0.490397,-3.15111,-2.5301,0.0038,0.0110066,"yes"
"34226","Sobic.001G009700.v3.2","seed_wt","seed_dry","OK",6.31216,0.849629,-2.89323,-4.03436,5e-05,0.000226883,"yes"
"34230","Sobic.001G010100.v3.2","seed_wt","seed_dry","OK",18.3238,4.22438,-2.11691,-2.99339,5e-05,0.000226883,"yes"
"34239","Sobic.001G011000.v3.2","seed_wt","seed_dry","OK",176.365,56.468,-1.64306,-2.95062,5e-05,0.000226883,"yes"
"34242","Sobic.001G011300.v3.2","seed_wt","seed_dry","OK",11.1568,1.64399,-2.76264,-2.81344,0.00075,0.00264828,"yes"
"34245","Sobic.001G011700.v3.2","seed_wt","seed_dry","OK",92.2713,8.02886,-3.52262,-4.05101,5e-05,0.000226883,"yes"
"34246","Sobic.001G011800.v3.2","seed_wt","seed_dry","OK",16.0171,7.09988,-1.17375,-1.51027,0.0102,0.0259007,"yes"
"34247","Sobic.001G012000.v3.2","seed_wt","seed_dry","OK",75.5993,20.7101,-1.86804,-3.5608,5e-05,0.000226883,"yes"
"34248","Sobic.001G012100.v3.2","seed_wt","seed_dry","OK",27.7133,4.78104,-2.53518,-3.60823,5e-05,0.000226883,"yes"
"34249","Sobic.001G012200.v3.2","seed_wt","seed_dry","OK",70.7606,0.444416,-7.31489,-6.13807,4e-04,0.00151008,"yes"
"34250","Sobic.001G012300.v3.2","seed_wt","seed_dry","OK",78.6504,0.886479,-6.47122,-7.39188,5e-05,0.000226883,"yes"
"34251","Sobic.001G012400.v3.2","seed_wt","seed_dry","OK",64.5327,7.5494,-3.0956,-4.69621,5e-05,0.000226883,"yes"
"34253","Sobic.001G012600.v3.2","seed_wt","seed_dry","OK",25.7402,3.24471,-2.98786,-4.2119,5e-05,0.000226883,"yes"
"34259","Sobic.001G013200.v3.2","seed_wt","seed_dry","OK",20.6369,9.57078,-1.10852,-1.59219,0.0048,0.0135007,"yes"
"34261","Sobic.001G013400.v3.2","seed_wt","seed_dry","OK",4.22774,1.07446,-1.97627,-2.0808,0.00305,0.00909904,"yes"
"34264","Sobic.001G013701.v3.2","seed_wt","seed_dry","OK",2.7352,0,-Inf,NA,0.0094,0.0241468,"yes"
"34277","Sobic.001G015000.v3.2","seed_wt","seed_dry","OK",1.64759,0.52871,-1.6398,-1.49158,0.0215,0.0491533,"yes"
"34284","Sobic.001G015700.v3.2","seed_wt","seed_dry","OK",4.66016,0,-Inf,NA,5e-05,0.000226883,"yes"
"34289","Sobic.001G016200.v3.2","seed_wt","seed_dry","OK",10.8092,0.687571,-3.9746,-3.89278,5e-05,0.000226883,"yes"
"34311","Sobic.001G018200.v3.2","seed_wt","seed_dry","OK",25.8996,7.81831,-1.728,-1.9372,0.00145,0.0047399,"yes"
"34332","Sobic.001G020100.v3.2","seed_wt","seed_dry","OK",24.0755,6.46636,-1.89654,-2.85479,5e-05,0.000226883,"yes"
"34345","Sobic.001G021500.v3.2","seed_wt","seed_dry","OK",40.1769,18.5669,-1.11363,-2.1136,3e-04,0.00116681,"yes"
"34350","Sobic.001G022000.v3.2","seed_wt","seed_dry","OK",3.45498,1.00827,-1.77679,-1.84705,0.00305,0.00909904,"yes"
"34353","Sobic.001G022300.v3.2","seed_wt","seed_dry","OK",63.8237,31.759,-1.00693,-1.70154,0.00375,0.0108831,"yes"
"34355","Sobic.001G022500.v3.2","seed_wt","seed_dry","OK",19.8149,6.87475,-1.52721,-2.57383,5e-05,0.000226883,"yes"
"34356","Sobic.001G022600.v3.2","seed_wt","seed_dry","OK",125.067,51.88,-1.26945,-2.39337,5e-05,0.000226883,"yes"
"34366","Sobic.001G023600.v3.2","seed_wt","seed_dry","OK",3.14946,0.838895,-1.90854,-1.6761,0.0122,0.0302228,"yes"
"34367","Sobic.001G023700.v3.2","seed_wt","seed_dry","OK",1.37079,0.298936,-2.1971,-1.46507,0.03435,0.0732609,"no"
"34369","Sobic.001G023900.v3.2","seed_wt","seed_dry","OK",32.364,13.8637,-1.22308,-2.20011,2e-04,0.000811791,"yes"
"34372","Sobic.001G024200.v3.2","seed_wt","seed_dry","OK",4.3397,1.55449,-1.48115,-1.72341,0.00465,0.0131341,"yes"
"34381","Sobic.001G025101.v3.2","seed_wt","seed_dry","OK",16.1148,3.1302,-2.36406,-2.29712,0.013,0.0319223,"yes"
"34384","Sobic.001G025400.v3.2","seed_wt","seed_dry","OK",43.9438,16.9995,-1.37017,-2.25867,2e-04,0.000811791,"yes"
"34389","Sobic.001G025900.v3.2","seed_wt","seed_dry","OK",1.69505,0.409567,-2.04915,-1.79633,0.00835,0.0217902,"yes"
"34393","Sobic.001G026300.v3.2","seed_wt","seed_dry","OK",3.29549,0,-Inf,NA,5e-05,0.000226883,"yes"
