"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"34161","Sobic.001G003200.v3.2","seed_wt","seed_dry","OK",6.66594,13.3336,1.00019,1.51715,0.00835,0.0217902,"yes"
"34175","Sobic.001G004600.v3.2","seed_wt","seed_dry","OK",1.46092,3.73498,1.35422,1.89078,0.0019,0.00600509,"yes"
"34203","Sobic.001G007400.v3.2","seed_wt","seed_dry","OK",42.2098,97.7915,1.21213,1.7863,0.0015,0.00488491,"yes"
"34211","Sobic.001G008200.v3.2","seed_wt","seed_dry","OK",8.455,17.7794,1.07233,2.00097,0.00055,0.00200761,"yes"
"34232","Sobic.001G010300.v3.2","seed_wt","seed_dry","OK",34.4914,121.167,1.81268,3.37484,5e-05,0.000226883,"yes"
"34233","Sobic.001G010400.v3.2","seed_wt","seed_dry","OK",78.2068,265.558,1.76366,3.24158,5e-05,0.000226883,"yes"
"34234","Sobic.001G010500.v3.2","seed_wt","seed_dry","OK",0.291455,1.43461,2.29931,1.87696,0.0089,0.0230331,"yes"
"34241","Sobic.001G011200.v3.2","seed_wt","seed_dry","OK",218.54,533.389,1.28729,2.25978,0.00025,0.000992286,"yes"
"34260","Sobic.001G013300.v3.2","seed_wt","seed_dry","OK",13.1677,29.756,1.17618,2.21807,3e-04,0.00116681,"yes"
"34262","Sobic.001G013500.v3.2","seed_wt","seed_dry","OK",92.8693,268.301,1.53058,2.74367,5e-05,0.000226883,"yes"
"34268","Sobic.001G014100.v3.2","seed_wt","seed_dry","OK",10.9792,31.6883,1.52917,2.89212,5e-05,0.000226883,"yes"
"34279","Sobic.001G015200.v3.2","seed_wt","seed_dry","OK",1.5643,3.25859,1.05873,1.30766,0.0259,0.0576743,"no"
"34282","Sobic.001G015500.v3.2","seed_wt","seed_dry","OK",15.1094,32.3237,1.09714,1.93326,0.0012,0.00400957,"yes"
"34286","Sobic.001G016000.v3.2","seed_wt","seed_dry","OK",17.6903,43.1229,1.2855,2.32902,5e-05,0.000226883,"yes"
"34293","Sobic.001G016400.v3.2","seed_wt","seed_dry","OK",194.561,413.343,1.08712,1.73505,0.00155,0.00502959,"yes"
"34294","Sobic.001G016500.v3.2","seed_wt","seed_dry","OK",312.961,659.577,1.07556,1.7363,0.00155,0.00502959,"yes"
"34305","Sobic.001G017600.v3.2","seed_wt","seed_dry","OK",22.6842,47.8753,1.07759,1.77634,0.00335,0.0098727,"yes"
"34308","Sobic.001G017900.v3.2","seed_wt","seed_dry","OK",20.2156,60.5588,1.58287,2.41023,5e-05,0.000226883,"yes"
"34324","Sobic.001G019300.v3.2","seed_wt","seed_dry","OK",0.954417,2.01245,1.07626,1.28856,0.03025,0.0657901,"no"
"34325","Sobic.001G019400.v3.2","seed_wt","seed_dry","OK",2.87602,10.353,1.8479,2.96768,5e-05,0.000226883,"yes"
"34336","Sobic.001G020600.v3.2","seed_wt","seed_dry","OK",1.4638,6.72836,2.20054,2.62795,5e-05,0.000226883,"yes"
