"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"136528","Sobic.001G001200.v3.2","WT_seed","plasma_seed","OK",1.13821,0.555078,-1.036,-1.53765,0.01255,0.0247348,"yes"
"136564","Sobic.001G004800.v3.2","WT_seed","plasma_seed","OK",3.61657,0.324585,-3.47795,-3.69598,5e-05,0.00014463,"yes"
"136566","Sobic.001G005000.v3.2","WT_seed","plasma_seed","OK",7.07056,2.4536,-1.52692,-2.82383,5e-05,0.00014463,"yes"
"136568","Sobic.001G005200.v3.2","WT_seed","plasma_seed","OK",3.0172,0.65311,-2.20781,-3.32317,5e-05,0.00014463,"yes"
"136573","Sobic.001G005700.v3.2","WT_seed","plasma_seed","OK",1.02606,0.342805,-1.58166,-1.67077,0.01095,0.0218371,"yes"
"136584","Sobic.001G006800.v3.2","WT_seed","plasma_seed","OK",22.1597,10.4443,-1.08522,-2.83784,5e-05,0.00014463,"yes"
"136599","Sobic.001G008300.v3.2","WT_seed","plasma_seed","OK",3.71569,1.78801,-1.05527,-2.05921,6e-04,0.00150104,"yes"
"136600","Sobic.001G008400.v3.2","WT_seed","plasma_seed","OK",1.1513,0.507106,-1.1829,-1.62481,0.00765,0.0156817,"yes"
"136605","Sobic.001G008900.v3.2","WT_seed","plasma_seed","OK",3.3115,0.26847,-3.62466,-4.46294,5e-05,0.00014463,"yes"
"136613","Sobic.001G009700.v3.2","WT_seed","plasma_seed","OK",5.43176,0.42682,-3.66972,-7.23558,5e-05,0.00014463,"yes"
"136617","Sobic.001G010100.v3.2","WT_seed","plasma_seed","OK",14.136,4.21926,-1.74431,-3.86516,5e-05,0.00014463,"yes"
"136626","Sobic.001G011000.v3.2","WT_seed","plasma_seed","OK",132.706,61.5706,-1.10792,-3.13622,5e-05,0.00014463,"yes"
"136636","Sobic.001G012200.v3.2","WT_seed","plasma_seed","OK",56.3437,11.2989,-2.31807,-5.6439,5e-05,0.00014463,"yes"
"136637","Sobic.001G012300.v3.2","WT_seed","plasma_seed","OK",59.6088,11.2249,-2.40883,-5.51231,5e-05,0.00014463,"yes"
"136638","Sobic.001G012400.v3.2","WT_seed","plasma_seed","OK",54.3316,13.2904,-2.0314,-5.08206,5e-05,0.00014463,"yes"
