"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"170662","Sobic.001G001900.v3.2","seed_wt","seed_plasma","OK",10.0005,21.1759,1.08236,2.99761,5e-05,0.000142862,"yes"
"170665","Sobic.001G002100.v3.2","seed_wt","seed_plasma","OK",2.2488,5.65355,1.33,1.42367,0.03925,0.0693389,"no"
"170700","Sobic.001G005500.v3.2","seed_wt","seed_plasma","OK",6.27538,19.9874,1.67131,3.79843,5e-05,0.000142862,"yes"
"170712","Sobic.001G006700.v3.2","seed_wt","seed_plasma","OK",121.001,498.306,2.04202,4.07366,5e-05,0.000142862,"yes"
"170744","Sobic.001G009900.v3.2","seed_wt","seed_plasma","OK",9.50695,21.5454,1.18032,2.64075,5e-05,0.000142862,"yes"
"170761","Sobic.001G011700.v3.2","seed_wt","seed_plasma","OK",81.2113,258.792,1.67204,3.96097,5e-05,0.000142862,"yes"
"170762","Sobic.001G011800.v3.2","seed_wt","seed_plasma","OK",13.3138,29.8222,1.16346,2.6243,1e-04,0.000276386,"yes"
"170785","Sobic.001G014200.v3.2","seed_wt","seed_plasma","OK",23.625,50.2521,1.08887,3.10956,5e-05,0.000142862,"yes"
"170819","Sobic.001G017400.v3.2","seed_wt","seed_plasma","OK",1.91856,4.10157,1.09615,1.8655,0.0026,0.00577118,"yes"
"170820","Sobic.001G017500.v3.2","seed_wt","seed_plasma","OK",64.15,193.759,1.59474,4.51713,5e-05,0.000142862,"yes"
"170840","Sobic.001G019300.v3.2","seed_wt","seed_plasma","OK",1.24663,2.87702,1.20654,2.3725,2e-04,0.000531739,"yes"
"170841","Sobic.001G019400.v3.2","seed_wt","seed_plasma","OK",2.26779,4.88344,1.10661,2.53938,5e-05,0.000142862,"yes"
"170849","Sobic.001G020200.v3.2","seed_wt","seed_plasma","OK",0.401653,2.34741,2.54705,2.81509,3e-04,0.000777912,"yes"
"170851","Sobic.001G020500.v3.2","seed_wt","seed_plasma","OK",0.882648,2.25255,1.35165,1.71126,0.0051,0.0107163,"yes"
"170891","Sobic.001G024400.v3.2","seed_wt","seed_plasma","OK",0.623384,1.99143,1.67561,2.10261,0.0012,0.00282715,"yes"
"170893","Sobic.001G024700.v3.2","seed_wt","seed_plasma","OK",0.087437,0.976372,3.48111,1.9985,0.00495,0.0104234,"yes"
"170897","Sobic.001G025101.v3.2","seed_wt","seed_plasma","OK",12.2015,36.3718,1.57577,3.01727,5e-05,0.000142862,"yes"
"170925","Sobic.001G027800.v3.2","seed_wt","seed_plasma","OK",1.45231,5.62173,1.95267,3.46649,5e-05,0.000142862,"yes"
"170932","Sobic.001G028500.v3.2","seed_wt","seed_plasma","OK",12.7975,28.4492,1.15252,1.91992,0.00115,0.00271687,"yes"
"170933","Sobic.001G028600.v3.2","seed_wt","seed_plasma","OK",14.0502,67.0064,2.25371,3.60714,5e-05,0.000142862,"yes"
"170935","Sobic.001G028800.v3.2","seed_wt","seed_plasma","OK",21.7159,199.565,3.20003,8.02929,5e-05,0.000142862,"yes"
"170949","Sobic.001G030200.v3.2","seed_wt","seed_plasma","OK",3.11191,7.92629,1.34884,2.73175,5e-05,0.000142862,"yes"
"170953","Sobic.001G030600.v3.2","seed_wt","seed_plasma","OK",4.10246,10.4198,1.34477,2.89598,5e-05,0.000142862,"yes"
"170967","Sobic.001G032100.v3.2","seed_wt","seed_plasma","OK",3.4841,21.8016,2.64558,5.42045,5e-05,0.000142862,"yes"
"170975","Sobic.001G032900.v3.2","seed_wt","seed_plasma","OK",3.22777,10.3619,1.68268,3.67029,5e-05,0.000142862,"yes"
"170995","Sobic.001G034900.v3.2","seed_wt","seed_plasma","OK",2.80039,6.52371,1.22007,1.99144,0.00085,0.00205322,"yes"
"170996","Sobic.001G035000.v3.2","seed_wt","seed_plasma","OK",0.978741,6.36249,2.70059,3.67546,1e-04,0.000276386,"yes"
"170997","Sobic.001G035100.v3.2","seed_wt","seed_plasma","OK",2.26397,14.5997,2.68901,4.79494,5e-05,0.000142862,"yes"
"171040","Sobic.001G038900.v3.2","seed_wt","seed_plasma","OK",38.4367,86.1385,1.16417,3.24841,5e-05,0.000142862,"yes"
"171042","Sobic.001G039100.v3.2","seed_wt","seed_plasma","OK",0.163186,0.721578,2.14464,1.85917,0.00685,0.0140398,"yes"
"171043","Sobic.001G039200.v3.2","seed_wt","seed_plasma","OK",1.09091,3.80853,1.8037,2.4511,0.00015,0.000405433,"yes"
"171054","Sobic.001G040200.v3.2","seed_wt","seed_plasma","OK",95.5548,335.648,1.81255,4.77095,5e-05,0.000142862,"yes"
"171096","Sobic.001G044300.v3.2","seed_wt","seed_plasma","OK",4.79122,16.3889,1.77425,3.8591,5e-05,0.000142862,"yes"
"171105","Sobic.001G045300.v3.2","seed_wt","seed_plasma","OK",0.400124,0.984687,1.29922,1.65274,0.00755,0.0153505,"yes"
"171112","Sobic.001G046000.v3.2","seed_wt","seed_plasma","OK",9.57869,20.5208,1.09919,2.76086,5e-05,0.000142862,"yes"
"171114","Sobic.001G046200.v3.2","seed_wt","seed_plasma","OK",6.5819,18.2173,1.46873,2.93078,5e-05,0.000142862,"yes"
"171128","Sobic.001G047700.v3.2","seed_wt","seed_plasma","OK",4.91504,12.2612,1.31882,2.76781,5e-05,0.000142862,"yes"
"171131","Sobic.001G048000.v3.2","seed_wt","seed_plasma","OK",1.75832,3.70448,1.07508,1.81734,0.00255,0.00567312,"yes"
"171135","Sobic.001G048400.v3.2","seed_wt","seed_plasma","OK",0.218842,0.960274,2.13355,2.27636,0.00175,0.00400997,"yes"
