"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"2694","Sobic.001G259700.v3.2","shoot_wt","shoot_plasma","OK",1.58359,0.712902,-1.15143,-1.38449,0.02075,0.0387798,"yes"
"6679","Sobic.002G093600.v3.2","shoot_wt","shoot_plasma","OK",10.7351,4.56699,-1.23302,-2.52129,1e-04,0.000276386,"yes"
"8395","Sobic.002G261000.v3.2","shoot_wt","shoot_plasma","OK",1.58763,0.775882,-1.03297,-1.27869,0.03015,0.0546068,"no"
"10360","Sobic.003G020500.v3.2","shoot_wt","shoot_plasma","OK",0.692487,0.322817,-1.10107,-1.29871,0.02825,0.0514773,"no"
"10534","Sobic.003G036950.v3.2","shoot_wt","shoot_plasma","OK",0.698878,0.319831,-1.12773,-1.287,0.03535,0.063072,"no"
"12974","Sobic.003G268900.v3.2","shoot_wt","shoot_plasma","OK",0.978894,0.450397,-1.11996,-1.24696,0.04205,0.0737959,"no"
"14135","Sobic.003G379301.v3.2","shoot_wt","shoot_plasma","OK",1.49955,0,-Inf,NA,0.00605,0.0125268,"yes"
"14329","Sobic.003G397500.v3.2","shoot_wt","shoot_plasma","OK",84.1907,34.9063,-1.27017,-3.18003,5e-05,0.000142862,"yes"
"17227","Sobic.004G230600.v3.2","shoot_wt","shoot_plasma","OK",1.97274,0.947432,-1.0581,-1.57591,0.0087,0.0174962,"yes"
"18975","Sobic.005G037000.v3.2","shoot_wt","shoot_plasma","OK",0.892729,0.387379,-1.20448,-1.43483,0.0154,0.0295404,"yes"
"19657","Sobic.005G102100.v3.2","shoot_wt","shoot_plasma","OK",25.8101,12.5565,-1.0395,-2.65847,5e-05,0.000142862,"yes"
"23418","Sobic.006G227500.v3.2","shoot_wt","shoot_plasma","OK",5.44124,1.30266,-2.06247,-2.94452,5e-05,0.000142862,"yes"
"24541","Sobic.007G051800.v3.2","shoot_wt","shoot_plasma","OK",17.072,8.16382,-1.06432,-2.42273,5e-05,0.000142862,"yes"
"27495","Sobic.008G106600.v3.2","shoot_wt","shoot_plasma","OK",0.691764,0.302888,-1.1915,-1.66088,0.0061,0.0126216,"yes"
"28538","Sobic.009G014600.v3.2","shoot_wt","shoot_plasma","OK",2.43454,0.505621,-2.26752,-2.81866,5e-05,0.000142862,"yes"
"29233","Sobic.009G080400.v3.2","shoot_wt","shoot_plasma","OK",1.0098,0.441916,-1.19223,-1.35805,0.0255,0.0468886,"yes"
"29332","Sobic.009G090000.v3.2","shoot_wt","shoot_plasma","OK",5.00352,1.429,-1.80794,-1.54376,0.0471,0.0817483,"no"
"31902","Sobic.010G079650.v3.2","shoot_wt","shoot_plasma","OK",3.79521,0,-Inf,NA,0.0132,0.0256508,"yes"
"31956","Sobic.010G084700.v3.2","shoot_wt","shoot_plasma","OK",1.82548,0.83333,-1.13131,-1.61229,0.00785,0.0159164,"yes"
"32290","Sobic.010G115600.v3.2","shoot_wt","shoot_plasma","OK",1.10102,0.530182,-1.05428,-1.18488,0.0444,0.0775466,"no"
