"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"492","Sobic.001G048600.v3.2","shoot_wt","shoot_plasma","OK",0.41393,1.0653,1.3638,1.68038,0.00675,0.0138509,"yes"
"1049","Sobic.001G101700.v3.2","shoot_wt","shoot_plasma","OK",0.170567,0.653581,1.93802,1.6271,0.0167,0.0317937,"yes"
"1401","Sobic.001G135200.v3.2","shoot_wt","shoot_plasma","OK",0.614559,1.31847,1.10124,1.21046,0.04315,0.0755635,"no"
"1449","Sobic.001G139800.v3.2","shoot_wt","shoot_plasma","OK",0.843332,1.99662,1.24339,1.37665,0.03385,0.0606573,"no"
"2875","Sobic.001G272700.v3.2","shoot_wt","shoot_plasma","OK",1.04634,2.17932,1.05852,1.53752,0.0098,0.0195218,"yes"
"3555","Sobic.001G338600.v3.2","shoot_wt","shoot_plasma","OK",0.232336,0.60581,1.38265,1.50872,0.0147,0.0283133,"yes"
"3669","Sobic.001G349650.v3.2","shoot_wt","shoot_plasma","OK",0,57.8911,Inf,NA,0.0141,0.0272478,"yes"
"3720","Sobic.001G354400.v3.2","shoot_wt","shoot_plasma","OK",0.503995,1.12357,1.15661,1.45269,0.0142,0.0274271,"yes"
"4223","Sobic.001G403200.v3.2","shoot_wt","shoot_plasma","OK",1.22054,2.87604,1.23657,2.31744,5e-05,0.000142862,"yes"
"4263","Sobic.001G406800.v3.2","shoot_wt","shoot_plasma","OK",20.8134,54.9103,1.39956,3.95589,5e-05,0.000142862,"yes"
"5036","Sobic.001G479600.v3.2","shoot_wt","shoot_plasma","OK",0.670524,1.40537,1.06759,1.25496,0.03855,0.0681922,"no"
"6834","Sobic.002G108800.v3.2","shoot_wt","shoot_plasma","OK",0.23214,0.656996,1.50089,1.53485,0.0165,0.0314413,"yes"
"6979","Sobic.002G122800.v3.2","shoot_wt","shoot_plasma","OK",0.580632,1.69787,1.54803,1.3581,0.01895,0.0356822,"yes"
"7639","Sobic.002G186966.v3.2","shoot_wt","shoot_plasma","OK",0,14.1588,Inf,NA,0.00145,0.00337101,"yes"
"8205","Sobic.002G242300.v3.2","shoot_wt","shoot_plasma","OK",2.99591,7.3947,1.3035,2.33989,0.00015,0.000405433,"yes"
"8234","Sobic.002G245300.v3.2","shoot_wt","shoot_plasma","OK",5.1433,11.1,1.10979,2.65663,5e-05,0.000142862,"yes"
"8478","Sobic.002G268500.v3.2","shoot_wt","shoot_plasma","OK",0.214552,0.636459,1.56874,1.52795,0.0265,0.0485615,"yes"
"10721","Sobic.003G055400.v3.2","shoot_wt","shoot_plasma","OK",0.514467,1.20909,1.23277,1.26777,0.03655,0.0650183,"no"
"10749","Sobic.003G057900.v3.2","shoot_wt","shoot_plasma","OK",0.617382,1.41492,1.19648,1.28008,0.0372,0.0660631,"no"
"10989","Sobic.003G080500.v3.2","shoot_wt","shoot_plasma","OK",0.492168,1.16431,1.24225,1.25265,0.04405,0.0769886,"no"
"11699","Sobic.003G148500.v3.2","shoot_wt","shoot_plasma","OK",0.423448,1.39685,1.72192,2.16854,8e-04,0.00194174,"yes"
"13093","Sobic.003G280200.v3.2","shoot_wt","shoot_plasma","OK",0.515689,1.37976,1.41985,1.34477,0.0257,0.0472206,"yes"
"14652","Sobic.003G428800.v3.2","shoot_wt","shoot_plasma","OK",1.31543,3.53445,1.42595,2.49796,1e-04,0.000276386,"yes"
"14839","Sobic.004G001800.v3.2","shoot_wt","shoot_plasma","OK",0.386312,0.873967,1.17781,1.39421,0.0218,0.0405794,"yes"
"15421","Sobic.004G057700.v3.2","shoot_wt","shoot_plasma","OK",0.329601,0.765017,1.21477,1.19541,0.04565,0.0795278,"no"
"16282","Sobic.004G139700.v3.2","shoot_wt","shoot_plasma","OK",0.520837,2.09184,2.00587,2.55901,0.00015,0.000405433,"yes"
"16869","Sobic.004G197100.v3.2","shoot_wt","shoot_plasma","OK",0.281564,1.39483,2.30856,1.84511,0.017,0.0323117,"yes"
"17181","Sobic.004G226100.v3.2","shoot_wt","shoot_plasma","OK",1.27857,2.92092,1.19189,1.49101,0.01495,0.0287445,"yes"
"18149","Sobic.004G317000.v3.2","shoot_wt","shoot_plasma","OK",0.621958,1.44071,1.2119,1.62195,0.0094,0.0187888,"yes"
"18779","Sobic.005G018400.v3.2","shoot_wt","shoot_plasma","OK",0.828942,1.81901,1.13381,1.91369,0.00165,0.00380005,"yes"
"19117","Sobic.005G050800.v3.2","shoot_wt","shoot_plasma","OK",0,1.18015,Inf,NA,5e-05,0.000142862,"yes"
