"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"136533","Sobic.001G001900.v3.2","WT_seed","plasma_seed","OK",11.3321,22.8588,1.01233,2.81753,5e-05,0.00014463,"yes"
"136571","Sobic.001G005500.v3.2","WT_seed","plasma_seed","OK",5.52227,16.1377,1.5471,3.48737,5e-05,0.00014463,"yes"
"136583","Sobic.001G006700.v3.2","WT_seed","plasma_seed","OK",112.41,462.545,2.04082,3.96215,5e-05,0.00014463,"yes"
"136615","Sobic.001G009900.v3.2","WT_seed","plasma_seed","OK",12.0235,26.0308,1.11437,2.621,5e-05,0.00014463,"yes"
"136632","Sobic.001G011700.v3.2","WT_seed","plasma_seed","OK",88.1655,275.364,1.64305,3.85839,5e-05,0.00014463,"yes"
"136633","Sobic.001G011800.v3.2","WT_seed","plasma_seed","OK",11.5172,31.4515,1.44934,3.30347,5e-05,0.00014463,"yes"
"136656","Sobic.001G014200.v3.2","WT_seed","plasma_seed","OK",26.5195,56.2228,1.0841,3.1188,5e-05,0.00014463,"yes"
"136690","Sobic.001G017400.v3.2","WT_seed","plasma_seed","OK",3.18154,7.1328,1.16474,2.28733,0.00025,0.00066314,"yes"
"136691","Sobic.001G017500.v3.2","WT_seed","plasma_seed","OK",60.952,186.334,1.61215,4.57638,5e-05,0.00014463,"yes"
"136712","Sobic.001G019400.v3.2","WT_seed","plasma_seed","OK",2.0858,4.75999,1.19036,2.7232,5e-05,0.00014463,"yes"
"136720","Sobic.001G020200.v3.2","WT_seed","plasma_seed","OK",0.545391,2.88154,2.40148,2.93358,2e-04,0.00053758,"yes"
"136722","Sobic.001G020500.v3.2","WT_seed","plasma_seed","OK",0.316967,1.15983,1.87151,1.44703,0.0301,0.0550431,"no"
"136762","Sobic.001G024400.v3.2","WT_seed","plasma_seed","OK",0.522031,1.67298,1.68021,2.15393,0.0011,0.00263425,"yes"
"136764","Sobic.001G024700.v3.2","WT_seed","plasma_seed","OK",0.113112,0.856606,2.92088,2.28785,0.01625,0.0313616,"yes"
"136768","Sobic.001G025101.v3.2","WT_seed","plasma_seed","OK",17.9294,50.7742,1.50177,3.20916,5e-05,0.00014463,"yes"
"136769","Sobic.001G025201.v3.2","WT_seed","plasma_seed","OK",0.230504,0.581461,1.33489,1.26302,0.03655,0.0656733,"no"
"136796","Sobic.001G027800.v3.2","WT_seed","plasma_seed","OK",1.34179,4.97581,1.89077,3.33421,5e-05,0.00014463,"yes"
"136804","Sobic.001G028600.v3.2","WT_seed","plasma_seed","OK",14.0339,69.3646,2.30528,3.68059,5e-05,0.00014463,"yes"
"136806","Sobic.001G028800.v3.2","WT_seed","plasma_seed","OK",21.1945,186.5,3.13742,7.89698,5e-05,0.00014463,"yes"
"136820","Sobic.001G030200.v3.2","WT_seed","plasma_seed","OK",3.55463,8.49407,1.25676,2.6331,5e-05,0.00014463,"yes"
"136824","Sobic.001G030600.v3.2","WT_seed","plasma_seed","OK",3.86083,9.66858,1.32439,2.86228,5e-05,0.00014463,"yes"
"136838","Sobic.001G032100.v3.2","WT_seed","plasma_seed","OK",3.0845,19.0693,2.62814,5.34719,5e-05,0.00014463,"yes"
"136846","Sobic.001G032900.v3.2","WT_seed","plasma_seed","OK",3.12604,9.61194,1.62049,3.5622,5e-05,0.00014463,"yes"
"136866","Sobic.001G034900.v3.2","WT_seed","plasma_seed","OK",2.84381,6.47633,1.18735,2.0845,0.00095,0.00230022,"yes"
"136867","Sobic.001G035000.v3.2","WT_seed","plasma_seed","OK",0.810702,5.83092,2.84648,3.84501,5e-05,0.00014463,"yes"
"136868","Sobic.001G035100.v3.2","WT_seed","plasma_seed","OK",2.03328,12.769,2.65077,4.75816,5e-05,0.00014463,"yes"
"136911","Sobic.001G038900.v3.2","WT_seed","plasma_seed","OK",36.3475,78.5182,1.11117,3.11905,5e-05,0.00014463,"yes"
"136913","Sobic.001G039100.v3.2","WT_seed","plasma_seed","OK",0.155605,0.736942,2.24366,2.01634,0.00565,0.0118754,"yes"
"136914","Sobic.001G039200.v3.2","WT_seed","plasma_seed","OK",0.887397,3.01799,1.76593,2.3335,7e-04,0.00173282,"yes"
"136925","Sobic.001G040200.v3.2","WT_seed","plasma_seed","OK",83.3847,296.72,1.83125,4.86037,5e-05,0.00014463,"yes"
"136967","Sobic.001G044300.v3.2","WT_seed","plasma_seed","OK",5.15096,18.0649,1.81028,4.04356,5e-05,0.00014463,"yes"
"136976","Sobic.001G045300.v3.2","WT_seed","plasma_seed","OK",0.329004,0.815129,1.30892,1.56568,0.0102,0.0204623,"yes"
"136983","Sobic.001G046000.v3.2","WT_seed","plasma_seed","OK",10.8771,22.1023,1.0229,2.65175,5e-05,0.00014463,"yes"
"136985","Sobic.001G046200.v3.2","WT_seed","plasma_seed","OK",7.38504,18.9099,1.35647,2.65118,5e-05,0.00014463,"yes"
"136999","Sobic.001G047700.v3.2","WT_seed","plasma_seed","OK",5.53127,12.2729,1.14979,2.51051,5e-05,0.00014463,"yes"
"137002","Sobic.001G048000.v3.2","WT_seed","plasma_seed","OK",1.74919,3.75537,1.10227,1.92599,0.0015,0.0035077,"yes"
"137006","Sobic.001G048400.v3.2","WT_seed","plasma_seed","OK",0.423407,1.19476,1.49661,1.9889,0.00145,0.00340034,"yes"
"137012","Sobic.001G048900.v3.2","WT_seed","plasma_seed","OK",28.3947,79.679,1.48858,3.96305,5e-05,0.00014463,"yes"
"137032","Sobic.001G050900.v3.2","WT_seed","plasma_seed","OK",27.4421,80.3977,1.55076,4.09935,5e-05,0.00014463,"yes"
"137038","Sobic.001G051600.v3.2","WT_seed","plasma_seed","OK",4.54162,14.2659,1.65129,3.81375,5e-05,0.00014463,"yes"
"137044","Sobic.001G052300.v3.2","WT_seed","plasma_seed","OK",3.04209,8.09329,1.41167,2.52416,5e-05,0.00014463,"yes"
"137050","Sobic.001G052800.v3.2","WT_seed","plasma_seed","OK",0.622516,1.3127,1.07635,1.62389,0.00615,0.0128388,"yes"
"137070","Sobic.001G054800.v3.2","WT_seed","plasma_seed","OK",153.076,363.534,1.24784,3.32189,5e-05,0.00014463,"yes"
"137073","Sobic.001G055300.v3.2","WT_seed","plasma_seed","OK",0.45677,1.14417,1.32476,1.65272,0.0074,0.0152062,"yes"
"137078","Sobic.001G055900.v3.2","WT_seed","plasma_seed","OK",38.2001,85.3835,1.16038,3.20811,5e-05,0.00014463,"yes"
"137093","Sobic.001G057500.v3.2","WT_seed","plasma_seed","OK",19.5063,55.1084,1.49833,3.69128,5e-05,0.00014463,"yes"
"137094","Sobic.001G057600.v3.2","WT_seed","plasma_seed","OK",10.2466,24.7081,1.26984,2.93186,5e-05,0.00014463,"yes"
"137095","Sobic.001G057700.v3.2","WT_seed","plasma_seed","OK",26.4873,55.1487,1.05803,3.01643,5e-05,0.00014463,"yes"
"137117","Sobic.001G059800.v3.2","WT_seed","plasma_seed","OK",277.486,872.743,1.65314,3.06421,5e-05,0.00014463,"yes"
"137145","Sobic.001G062300.v3.2","WT_seed","plasma_seed","OK",37.736,91.415,1.27649,3.26703,5e-05,0.00014463,"yes"
"137148","Sobic.001G062600.v3.2","WT_seed","plasma_seed","OK",5.25157,28.1802,2.42386,6.53066,5e-05,0.00014463,"yes"
"137153","Sobic.001G063000.v3.2","WT_seed","plasma_seed","OK",0.944121,4.49857,2.25242,3.83275,5e-05,0.00014463,"yes"
"137157","Sobic.001G063400.v3.2","WT_seed","plasma_seed","OK",4.97812,10.5709,1.08642,2.10066,0.00045,0.00114794,"yes"
"137169","Sobic.001G064700.v3.2","WT_seed","plasma_seed","OK",3.2177,8.08397,1.32904,3.35846,5e-05,0.00014463,"yes"
"137170","Sobic.001G064800.v3.2","WT_seed","plasma_seed","OK",6.86083,15.9354,1.21578,2.94837,5e-05,0.00014463,"yes"
"137181","Sobic.001G065800.v3.2","WT_seed","plasma_seed","OK",95.1676,358.287,1.91258,5.02486,5e-05,0.00014463,"yes"
"137182","Sobic.001G065900.v3.2","WT_seed","plasma_seed","OK",1.1508,5.51116,2.25972,3.01614,5e-05,0.00014463,"yes"
"137183","Sobic.001G066000.v3.2","WT_seed","plasma_seed","OK",13.809,29.7791,1.10869,2.62157,1e-04,0.000279923,"yes"
"137193","Sobic.001G067100.v3.2","WT_seed","plasma_seed","OK",35.4365,243.084,2.77815,7.60735,5e-05,0.00014463,"yes"
"137201","Sobic.001G067850.v3.2","WT_seed","plasma_seed","OK",1.31059,3.68496,1.49143,2.73401,1e-04,0.000279923,"yes"
"137222","Sobic.001G069800.v3.2","WT_seed","plasma_seed","OK",33.3533,71.4377,1.09885,3.07122,5e-05,0.00014463,"yes"
"137229","Sobic.001G070500.v3.2","WT_seed","plasma_seed","OK",0.0540327,1.11481,4.36682,2.15692,0.0026,0.0058348,"yes"
"137235","Sobic.001G071100.v3.2","WT_seed","plasma_seed","OK",38.4008,111.322,1.53553,4.14086,5e-05,0.00014463,"yes"
"137238","Sobic.001G071300.v3.2","WT_seed","plasma_seed","OK",0.202711,0.602211,1.57085,1.73812,0.0072,0.0148321,"yes"
"137243","Sobic.001G071800.v3.2","WT_seed","plasma_seed","OK",202.737,659.555,1.70188,3.9851,5e-05,0.00014463,"yes"
"137265","Sobic.001G073800.v3.2","WT_seed","plasma_seed","OK",0.516431,1.75397,1.76397,2.69251,5e-05,0.00014463,"yes"
"137269","Sobic.001G074200.v3.2","WT_seed","plasma_seed","OK",10.5458,28.7261,1.44569,3.94666,5e-05,0.00014463,"yes"
"137271","Sobic.001G074400.v3.2","WT_seed","plasma_seed","OK",29.0622,75.0451,1.36862,3.80952,5e-05,0.00014463,"yes"
"137287","Sobic.001G075900.v3.2","WT_seed","plasma_seed","OK",1.19023,4.02818,1.75889,2.79811,5e-05,0.00014463,"yes"
"137290","Sobic.001G076100.v3.2","WT_seed","plasma_seed","OK",9.09613,28.0556,1.62497,4.19376,5e-05,0.00014463,"yes"
"137307","Sobic.001G077700.v3.2","WT_seed","plasma_seed","OK",81.546,200.875,1.30061,3.5414,5e-05,0.00014463,"yes"
"137310","Sobic.001G078000.v3.2","WT_seed","plasma_seed","OK",0.325635,1.33251,2.03282,1.83693,0.00695,0.0143555,"yes"
"137312","Sobic.001G078200.v3.2","WT_seed","plasma_seed","OK",130.122,782.289,2.58783,6.48538,5e-05,0.00014463,"yes"
"137313","Sobic.001G078300.v3.2","WT_seed","plasma_seed","OK",2.31957,22.6598,3.28821,7.10472,5e-05,0.00014463,"yes"
"137319","Sobic.001G078900.v3.2","WT_seed","plasma_seed","OK",19.5154,84.1329,2.10806,5.70987,5e-05,0.00014463,"yes"
"137325","Sobic.001G079401.v3.2","WT_seed","plasma_seed","OK",0,1.22931,Inf,NA,0.00095,0.00230022,"yes"
"137326","Sobic.001G079500.v3.2","WT_seed","plasma_seed","OK",10.6687,23.4566,1.13661,2.96683,5e-05,0.00014463,"yes"
"137347","Sobic.001G081600.v3.2","WT_seed","plasma_seed","OK",15.8493,35.5542,1.1656,3.0866,5e-05,0.00014463,"yes"
"137353","Sobic.001G082200.v3.2","WT_seed","plasma_seed","OK",2.84655,13.8249,2.27998,4.8863,5e-05,0.00014463,"yes"
"137354","Sobic.001G082300.v3.2","WT_seed","plasma_seed","OK",2.6938,5.40454,1.00453,2.02548,0.0012,0.00285491,"yes"
"137355","Sobic.001G082400.v3.2","WT_seed","plasma_seed","OK",76.6127,339.555,2.14799,5.29873,5e-05,0.00014463,"yes"
"137365","Sobic.001G083400.v3.2","WT_seed","plasma_seed","OK",7.24484,15.8097,1.12578,3.10885,5e-05,0.00014463,"yes"
"137376","Sobic.001G084200.v3.2","WT_seed","plasma_seed","OK",1.12686,3.68367,1.70883,2.945,5e-05,0.00014463,"yes"
"137378","Sobic.001G084400.v3.2","WT_seed","plasma_seed","OK",1.35157,6.33596,2.22893,3.73316,5e-05,0.00014463,"yes"
"137380","Sobic.001G084600.v3.2","WT_seed","plasma_seed","OK",18.5026,67.4317,1.8657,5.12964,5e-05,0.00014463,"yes"
"137414","Sobic.001G087850.v3.2","WT_seed","plasma_seed","OK",0,2.754,Inf,NA,0.01295,0.0254531,"yes"
"137419","Sobic.001G088300.v3.2","WT_seed","plasma_seed","OK",1.44748,6.22709,2.10502,3.5052,5e-05,0.00014463,"yes"
"137422","Sobic.001G088500.v3.2","WT_seed","plasma_seed","OK",75.7378,261.374,1.78703,4.87736,5e-05,0.00014463,"yes"
"137423","Sobic.001G088600.v3.2","WT_seed","plasma_seed","OK",6.90543,42.7769,2.63103,5.11945,5e-05,0.00014463,"yes"
"137443","Sobic.001G090600.v3.2","WT_seed","plasma_seed","OK",0.807459,1.70588,1.07905,2.20203,5e-04,0.0012665,"yes"
"137446","Sobic.001G090900.v3.2","WT_seed","plasma_seed","OK",8.51307,23.226,1.44799,2.92946,5e-05,0.00014463,"yes"
"137447","Sobic.001G091000.v3.2","WT_seed","plasma_seed","OK",274.834,898.383,1.70877,3.99281,5e-05,0.00014463,"yes"
"137453","Sobic.001G091600.v3.2","WT_seed","plasma_seed","OK",0.91974,2.46984,1.42512,2.047,0.0015,0.0035077,"yes"
"137464","Sobic.001G092600.v3.2","WT_seed","plasma_seed","OK",35.3981,83.65,1.2407,3.38823,5e-05,0.00014463,"yes"
"137470","Sobic.001G093200.v3.2","WT_seed","plasma_seed","OK",0.530845,1.30208,1.29445,1.85928,0.00285,0.00633017,"yes"
"137486","Sobic.001G094600.v3.2","WT_seed","plasma_seed","OK",1.71746,3.51262,1.03227,2.03005,7e-04,0.00173282,"yes"
"137522","Sobic.001G097600.v3.2","WT_seed","plasma_seed","OK",387.003,1877.23,2.27819,4.2891,5e-05,0.00014463,"yes"
"137534","Sobic.001G098800.v3.2","WT_seed","plasma_seed","OK",5.58407,15.0899,1.43419,3.18757,5e-05,0.00014463,"yes"
"137548","Sobic.001G100200.v3.2","WT_seed","plasma_seed","OK",2.78544,10.7961,1.95454,1.6824,0.0213,0.0401735,"yes"
