"Version1","Version1.4","Version2.1","Version3.1","UniProt","PANTHER"
"Sb10g000240","Sb10g000240","Sobic.010G000600","Sobic.010G000600","C5Z217","PTHR24413"
"Sb10g000360","Sb10g000360","Sobic.010G001600","Sobic.010G001600","C5Z228","PTHR11056"
"Sb10g000930","Sb10g000930","Sobic.010G007800","Sobic.010G007800","C5Z2P9","PTHR33493"
"Sb10g001520","Sb10g001520","Sobic.010G015400","Sobic.010G015400","C5Z2W8","PTHR24015"
"Sb10g001620","Sb10g001620","Sobic.010G016500","Sobic.010G016500","Q3T5N1","PTHR31839"
"Sb10g002030","Sb10g002030","Sobic.010G021300","null","C5Z3A9","PTHR11467"
"Sb10g002140","Sb10g002140","Sobic.010G022600","Sobic.010G022600","Q5NKS5","PTHR12526"
"Sb10g002820","Sb10g002820","Sobic.010G031100","Sobic.010G031100","C5Z3T4","PTHR33605"
"Sb10g002840","Sb10g002840","Sobic.010G031300","Sobic.010G031300","null",""
"Sb10g002880","Sb10g002880","Sobic.010G031900","Sobic.010G031900","C5Z3T9","PTHR33605"
"Sb10g002890","Sb10g002890","Sobic.010G032000","Sobic.010G032000","C5Z3U0","PTHR33605"
"Sb10g002900","Sb10g002900","Sobic.010G032100","Sobic.010G032100","C5Z3U1","PTHR33605"
"Sb10g003230","Sb10g003230","Sobic.010G036000","Sobic.010G036000","C5Z3X7","PTHR33120"
"Sb10g003240","Sb10g003240","Sobic.010G036100","Sobic.010G036100","C5Z3X8","PTHR33120"
"Sb10g003280","Sb10g003280","Sobic.010G036800","Sobic.010G036800","C5Z3Y4","PTHR33120"
"Sb10g003420","Sb10g003420","Sobic.010G038500","Sobic.010G038500","C5Z491","PTHR22835"
"Sb10g003650","Sb10g003650","Sobic.010G041400","Sobic.010G041400","C5Z4B4","PTHR13697"
"Sb10g003700","Sb10g003700","Sobic.010G041900","Sobic.010G041900","C5Z4B8","PTHR33346"
"Sb10g003790","Sb10g003790","Sobic.010G043000","Sobic.010G043000","C5Z4C9","PTHR24006"
"Sb10g003900","Sb10g003900","Sobic.010G044600","Sobic.010G044600","C5Z4E2","PTHR22835"
"Sb10g004000","Sb10g004000","Sobic.010G045700","Sobic.010G045700","C5Z4F2","PTHR32096"
"Sb10g004580","Sb10g004580","Sobic.010G052600","Sobic.010G052600","C5Z4W7","PTHR31729"
"Sb10g005760","Sb10g005760","null","Sobic.010G066601","C5Z5T6","PTHR31642"
