"Version1","Version1.4","Version2.1","Version3.1","UniProt","PANTHER"
"Sb10g000330","Sb10g000330","Sobic.010G001300","Sobic.010G001300","C5Z225","PTHR31896"
"Sb10g000400","Sb10g000400","Sobic.010G002000","Sobic.010G002000","C5Z231","PTHR30075"
"Sb10g000470","Sb10g000470","Sobic.010G003100","Sobic.010G003100","C5Z240","PTHR11709"
"Sb10g000520","Sb10g000520","Sobic.010G003700","Sobic.010G003700","C5Z246","PTHR31636"
"Sb10g000550","Sb10g000550","null","Sobic.010G004001","C5Z251","PTHR33074"
"Sb10g000650","Sb10g000650","Sobic.010G004900","Sobic.010G004900","C5Z262","PTHR12718"
"Sb10g000660","Sb10g000660","Sobic.010G005000","Sobic.010G005000","C5Z263","PTHR31339"
"Sb10g000720","Sb10g000720","Sobic.010G005500","Sobic.010G005500","C5Z269","PTHR19384"
"Sb10g000810","Sb10g000810","Sobic.010G006400","Sobic.010G006400","C5Z280",""
"Sb10g000830","Sb10g000830","Sobic.010G006700","Sobic.010G006700","C5Z283","PTHR31218"
"Sb10g000960","Sb10g000960","Sobic.010G008400","Sobic.010G008400","null",""
"Sb10g001110","Sb10g001110","Sobic.010G010900","Sobic.010G010900","C5Z2S2","PTHR37891"
"Sb10g001240","Sb10g001240","Sobic.010G012500","Sobic.010G012500","C5Z2T8","PTHR34267"
"Sb10g001300","Sb10g001300","Sobic.010G013100","Sobic.010G013100","C5Z2U4","PTHR35103"
"Sb10g001460","Sb10g001460","Sobic.010G014700","Sobic.010G014700","C5Z2W0","PTHR31852"
"Sb10g001600","Sb10g001600","Sobic.010G016300","Sobic.010G016300","C5Z2X4","PTHR12329"
"Sb10g001690","Sb10g001690","Sobic.010G017400","Sobic.010G017400","C5Z374","PTHR31636"
"Sb10g001790","Sb10g001790","Sobic.010G018500","null","C5Z384",""
"Sb10g001940","Sb10g001940","Sobic.010G020200","Sobic.010G020200","C5Z3A0","PTHR10334"
"Sb10g001970","Sb10g001970","Sobic.010G020600","Sobic.010G020600","C5Z3A2","PTHR27000"
"Sb10g002090","Sb10g002090","Sobic.010G022000","Sobic.010G022000","Q5NKT2","PTHR10992"
"Sb10g002130","Sb10g002130","Sobic.010G022500","Sobic.010G022500","Q5NKS6","PTHR32227"
"Sb10g002190","Sb10g002190","Sobic.010G023400","Sobic.010G023400","Q5NKS0","PTHR31279"
"Sb10g002200","Sb10g002200","Sobic.010G023500","Sobic.010G023500","null",""
"Sb10g002210","Sb10g002210","Sobic.010G023600","Sobic.010G023600","C5Z3C8","PTHR10579"
"Sb10g002250","Sb10g002250","Sobic.010G024000","null","C5Z3D3","PTHR11624"
"Sb10g002500","Sb10g002500","Sobic.010G027400","Sobic.010G027400","C5Z3G1","PTHR33326"
"Sb10g002740","Sb10g002740","Sobic.010G030100","Sobic.010G030100","C5Z3S6","PTHR24326"
"Sb10g002750","Sb10g002750","Sobic.010G030200","Sobic.010G030200","C5Z3S7","PTHR24326"
"Sb10g002930","Sb10g002930","Sobic.010G032500","null","C5Z3U5","PTHR27002"
